Timestamp,Light,Temp,Hum,Predicted_Yield
2026-05-14 14:23:43,602,30.096700950595327,56.830792449435116,24.75
2026-05-14 14:23:53,474,30.58461455028287,63.03826289662137,19.39
2026-05-14 14:24:09,744,26.40341566737518,63.56597161005138,30.75
2026-05-14 14:24:19,445,28.364358743270405,64.96945499753106,18.62
2026-05-14 14:24:30,789,31.028608182581017,61.73447329003433,32.13
2026-05-14 14:24:40,455,25.116045952055526,61.789945247289594,18.56
2026-05-14 14:24:50,514,26.25152267392418,56.56304483385711,21.21
2026-05-14 14:25:01,789,29.087804489927272,57.93426184972325,32.78
2026-05-14 14:25:11,491,26.799589368936484,60.22569513010928,20.37
2026-05-14 14:25:22,540,25.140160385975985,64.69387267755397,22.03
2026-05-14 14:25:33,679,29.922745603980253,62.64293173936417,27.97
2026-05-14 14:25:43,591,29.747886527774977,61.77005906572867,24.39
2026-05-14 14:25:54,613,29.55606582978646,58.68217612059894,25.35
2026-05-14 14:26:06,788,29.100943163189612,58.05411454170524,32.73
2026-05-14 14:26:16,511,26.092807796397345,57.01412959798417,21.05
2026-05-14 14:26:26,573,28.86238232576053,64.18344873318128,23.86
2026-05-14 14:26:36,616,29.074805526249044,63.01943687698882,25.59
2026-05-14 14:26:47,731,27.2145393773392,60.036998153553384,30.46
2026-05-14 14:26:57,507,29.578366640242777,58.20712752530554,20.96
2026-05-14 14:27:09,571,29.316045459039174,57.63238985687276,23.67
2026-05-14 14:27:20,643,29.16923747928723,55.38291365617622,26.69
2026-05-14 14:27:31,768,28.058294144844403,56.491331500494915,32.24
2026-05-14 14:27:42,461,28.13667757768205,58.931822655993884,19.34
2026-05-14 14:27:52,421,31.947283148101405,60.78937351264168,16.98
2026-05-14 14:28:02,405,28.6130055413024,62.66673950076963,16.91
2026-05-14 14:28:13,672,26.027283113899014,59.00601196303839,27.67
2026-05-14 14:28:24,558,25.983135981394362,55.68884360249033,22.96
2026-05-14 14:28:35,785,27.606881458438252,56.130570364781676,32.84
2026-05-14 14:28:46,484,27.248799389102345,63.665803777057235,20.18
2026-05-14 14:28:56,482,31.137593606012405,62.17950949122226,19.61
2026-05-14 14:29:06,581,25.751802362784655,59.36866646928353,23.85
2026-05-14 14:29:17,595,26.613901308154034,55.979185709226776,24.64
2026-05-14 14:29:28,653,25.489058586924404,61.299102422821925,26.74
2026-05-14 14:29:38,475,28.69092515636781,56.31062735208089,19.81
2026-05-14 14:29:41,689,26.993901291544773,58.003111756597654,28.65
2026-05-14 14:29:50,556,30.56538090640413,62.870951589552746,22.75
2026-05-14 14:29:52,649,31.895040313255304,58.346032542991715,26.2
2026-05-14 14:30:01,664,27.194819084992186,57.72420718672714,27.66
2026-05-14 14:30:03,627,30.252008274152118,61.66149509746803,25.74
2026-05-14 14:30:12,400,29.29108539794826,64.53536367774481,16.58
2026-05-14 14:30:14,473,29.469946583749497,57.17108814189924,19.57
2026-05-14 14:30:23,615,25.250065874331487,55.60472688543675,25.12
2026-05-14 14:30:24,442,30.831199695677743,57.63240006402352,18.04
2026-05-14 14:30:33,533,27.154447132940998,59.46594960571625,22.2
2026-05-14 14:30:34,404,28.80425627912119,58.32823625837837,16.83
2026-05-14 14:30:43,738,30.829901112691125,61.51804395203091,30.12
2026-05-14 14:30:44,574,31.33031878775147,63.28846803619101,23.31
2026-05-14 14:30:53,659,29.383081432841642,61.22592186994447,27.3
2026-05-14 14:30:54,534,29.33200973963822,57.70204789612859,22.13
2026-05-14 14:31:03,625,31.762129394982964,61.657679498712874,25.26
2026-05-14 14:31:05,733,30.363113258932405,64.36970359328126,30.06
2026-05-14 14:31:14,699,31.41042456297247,59.90291737020219,28.36
2026-05-14 14:31:15,559,26.351652540601666,61.73027436292435,23.09
2026-05-14 14:31:18,574,25.566898408987694,59.953382116204914,23.52
2026-05-14 14:31:25,650,25.160347455113058,59.181300359839504,26.52
2026-05-14 14:31:28,798,27.610771319569135,59.877825509289906,33.39
2026-05-14 14:31:35,759,27.749791659324213,60.88835730832209,31.8
2026-05-14 14:31:39,599,30.912751456892533,60.6908742147841,24.43
2026-05-14 14:31:45,644,28.366075770575335,57.50860735360548,26.95
2026-05-14 14:31:49,596,25.077962159890472,63.535863722627916,24.3
2026-05-14 14:31:56,592,30.51617684102622,55.91973652463339,24.24
2026-05-14 14:31:59,605,31.112949097960232,60.82726955613568,24.62
2026-05-14 14:32:06,406,25.151381119687493,61.75063158531383,16.57
2026-05-14 14:32:09,461,28.45277991279786,62.924612790577726,19.27
2026-05-14 14:32:16,423,25.42568759371682,59.03433877783368,17.31
2026-05-14 14:32:19,714,26.855794278160914,59.424392624296395,29.64
2026-05-14 14:32:26,557,29.671489092904892,57.78096424286671,23.0
2026-05-14 14:32:29,677,28.435610724679236,59.41625665472938,28.31
2026-05-14 14:32:36,761,28.7123344261187,59.99572885224247,31.73
2026-05-14 14:32:41,585,25.28868640575952,59.453153453116464,23.9
2026-05-14 14:32:46,656,31.658840084491064,55.620618264728506,26.54
2026-05-14 14:32:51,509,30.552560979107696,55.25024788490118,20.83
2026-05-14 14:32:53,434,30.637658584838796,64.36998307575917,17.75
2026-05-14 14:33:01,408,26.095448729555947,57.14235470079648,16.81
2026-05-14 14:33:04,733,29.527251791587304,59.1748015605602,30.32
2026-05-14 14:33:11,660,28.96305745771997,61.23308011395011,27.45
2026-05-14 14:33:11,496,28.174546006923826,60.132531189019126,20.8
2026-05-14 14:33:22,541,31.656998544048243,60.44411355835032,21.89
2026-05-14 14:33:33,641,25.550746733418002,63.29185673451194,26.26
2026-05-14 14:33:43,689,25.286702674314874,56.72474117943301,28.15
2026-05-14 14:33:54,403,27.687855247368187,58.19798485256969,16.87
2026-05-14 14:34:05,492,26.14595653377313,56.74284588123689,20.28
2026-05-14 14:34:17,703,30.786843975649216,58.227804967258535,28.7
2026-05-14 14:34:27,605,27.071614388804548,63.0003660982448,25.17
2026-05-14 14:34:38,464,31.23972586418824,59.68169159516391,18.86
2026-05-14 14:34:49,409,28.9942801837973,57.04915239209449,17.01
2026-05-14 14:35:00,701,26.868756697468523,59.32637233825834,29.11
2026-05-14 14:35:11,739,30.2235027228041,64.48118887375239,30.35
2026-05-14 14:35:22,545,30.28843584006576,58.555903027312866,22.37
2026-05-14 14:35:33,615,25.85136363048339,58.490544807040024,25.28
2026-05-14 14:35:45,601,26.901006059808633,59.521962571148535,24.96
2026-05-14 14:35:56,501,26.578176239421214,60.05470152192974,20.74
2026-05-14 14:36:07,797,27.38514841750076,61.071109867656,33.27
2026-05-14 14:36:18,686,31.295188558490356,55.258554940188745,27.86
2026-05-14 14:36:29,780,27.858374506214737,63.49651024716686,32.71
2026-05-14 14:36:40,669,30.120975323551885,59.73905913445672,27.5
2026-05-14 14:36:51,623,25.72113691979249,62.81867544177051,25.57
2026-05-14 14:37:02,453,30.21398444496839,63.47290155146017,18.6
2026-05-14 14:37:13,558,29.315068793825038,58.14576049133119,23.13
2026-05-14 14:37:25,455,25.399384754160167,62.67704336323999,18.61
2026-05-14 14:37:36,440,27.997508956912494,55.55629896326771,18.48
2026-05-14 14:37:47,585,28.78347745997867,57.56739580112181,24.38
2026-05-14 14:37:58,425,31.762054045606178,57.32192357455862,17.18
2026-05-14 14:38:03,446,29.95806276807499,57.772699382124294,18.37
2026-05-14 14:38:14,407,25.578721699979287,63.21969848998127,16.68
2026-05-14 14:38:24,452,25.44696020852527,61.46391240195143,18.5
2026-05-14 14:38:39,512,26.30996888366331,59.95572147367842,21.14
2026-05-14 14:38:49,458,29.86409732068119,63.98003487109587,18.88
2026-05-14 14:38:59,620,30.313654332205786,58.67623993385069,25.44
2026-05-14 14:39:10,475,30.254511360123175,58.30643760055984,19.5
2026-05-14 14:39:10,479,26.393720095845406,61.58864242967046,19.79
2026-05-14 14:39:20,581,29.055072505719806,56.32174070596346,24.14
2026-05-14 14:39:20,643,30.758186885063424,57.95170675199685,26.26
2026-05-14 14:39:30,694,29.594057166046927,56.84040271509917,28.68
